start_id,end_id,start_name,end_name,start_coordinate,end_coordinate,route,linear_distance,route,distance,trip duration,distance_value(km),time_value(min)
69,315,興豐公園,捷運萬隆站(1號出口),"24.999837,121.547778","25.001447,121.539037",途經景豐街,0.9002426021918005,途經景豐街,1.4 公里,6 分,1.4,6.0
69,335,興豐公園,景文中學,"24.999837,121.547778","24.986301,121.567855",途經景興路,2.521217771157716,途經景興路,6.7 公里,23 分,6.7,23.0
69,369,興豐公園,世新大學,"24.999837,121.547778","24.98862,121.54361",途經景興路,1.3118526665275705,途經景興路,1.7 公里,7 分,1.7,7.0
69,383,興豐公園,一壽橋,"24.999837,121.547778","24.97848,121.55545",途經景隆街,2.4893414531609674,途經景隆街,7.1 公里,22 分,7.1,22.0
69,385,興豐公園,和興路26巷口,"24.999837,121.547778","24.9856,121.54531",途經景興路和景文街,1.5966329150603422,途經景興路和景文街,2.9 公里,11 分,2.9,11.0
69,388,興豐公園,景華街128巷口,"24.999837,121.547778","24.995563,121.547092",途經興隆路二段,0.47848136770094957,途經興隆路二段,950 公尺,3 分,0.95,3.0
69,391,興豐公園,景仁公園,"24.999837,121.547778","24.9966,121.540295",途經興隆路二段和景興路46巷,0.8362019518277041,途經興隆路二段和景興路46巷,1.3 公里,5 分,1.3,5.0
94,98,捷運景美站,羅斯福景隆街口,"24.993254,121.541059","24.999378,121.540197",途經羅斯福路六段159巷1弄和羅斯福路六段/台9線,0.683931601202127,途經羅斯福路六段159巷1弄和羅斯福路六段/台9線,750 公尺,3 分,0.75,3.0
94,104,捷運景美站,台北花木批發市場,"24.993254,121.541059","25.004023,121.54074",途經台9線,1.193347589025144,途經台9線,1.5 公里,5 分,1.5,5.0
94,141,捷運景美站,文山行政中心,"24.993254,121.541059","24.989902,121.569984",途經景文街,2.9436923600951315,途經景文街,7.6 公里,24 分,7.6,24.0
94,142,捷運景美站,捷運木柵站,"24.993254,121.541059","24.997996,121.57444",途經木柵路四段/106縣道,3.4106276577451777,途經木柵路四段/106縣道,8.1 公里,25 分,8.1,25.0
94,143,捷運景美站,捷運動物園站(2號出口),"24.993254,121.541059","24.997659,121.578752",途經新光路二段,3.836409719963615,途經新光路二段,8.5 公里,28 分,8.5,28.0
94,144,捷運景美站,國立政治大學,"24.993254,121.541059","24.988363,121.576536",途經景美街和景文街,3.6224184504326633,途經景美街和景文街,7.9 公里,26 分,7.9,26.0
94,151,捷運景美站,考試院,"24.993254,121.541059","24.987507,121.549827",途經景文街,1.0903445760963946,途經景文街,3.0 公里,10 分,3.0,10.0
94,166,捷運景美站,臺北市立景美女中,"24.993254,121.541059","24.980602,121.556177",途經景文街,2.072162872657578,途經景文街,5.1 公里,17 分,5.1,17.0
94,171,捷運景美站,文山運動中心,"24.993254,121.541059","24.996842,121.559651",途經興隆路二段,1.918559325786219,途經興隆路二段,2.7 公里,10 分,2.7,10.0
94,205,捷運景美站,木柵光輝路口,"24.993254,121.541059","24.988241,121.55561",途經木柵路一段/106縣道,1.57048571678685,途經木柵路一段/106縣道,3.5 公里,12 分,3.5,12.0
94,206,捷運景美站,捷運辛亥站,"24.993254,121.541059","25.005386,121.55716",途經興隆路二段,2.109029081974668,途經興隆路二段,2.8 公里,11 分,2.8,11.0
94,228,捷運景美站,捷運萬芳社區站,"24.993254,121.541059","24.998811,121.56789",途經興隆路二段,2.7777438374456893,途經興隆路二段,3.6 公里,13 分,3.6,13.0
94,247,捷運景美站,木柵公園,"24.993254,121.541059","24.987144,121.560627",途經106縣道,2.0882713693300716,途經106縣道,4.2 公里,15 分,4.2,15.0
94,262,捷運景美站,永安藝文館-表演36房,"24.993254,121.541059","24.984144,121.569064",途經景文街,3.0020592659045526,途經景文街,6.6 公里,21 分,6.6,21.0
94,272,捷運景美站,忠順區民活動中心,"24.993254,121.541059","24.984707,121.563125",途經景文街,2.42060143006974,途經景文街,6.0 公里,20 分,6.0,20.0
94,296,捷運景美站,萬和二號公園,"24.993254,121.541059","25.001545,121.536446",途經羅斯福路六段/台9線,1.0297381209420404,途經羅斯福路六段/台9線,1.3 公里,4 分,1.3,4.0
94,315,捷運景美站,捷運萬隆站(1號出口),"24.993254,121.541059","25.001447,121.539037",途經羅斯福路六段/台9線,0.9302343064389189,途經羅斯福路六段/台9線,1.3 公里,5 分,1.3,5.0
94,335,捷運景美站,景文中學,"24.993254,121.541059","24.986301,121.567855",途經景文街,2.812786012462028,途經景文街,6.3 公里,20 分,6.3,20.0
94,369,捷運景美站,世新大學,"24.993254,121.541059","24.98862,121.54361",途經景後街和景美街,0.5743052761063269,途經景後街和景美街,1.3 公里,5 分,1.3,5.0
94,383,捷運景美站,一壽橋,"24.993254,121.541059","24.97848,121.55545",途經景文街,2.188457294560184,途經景文街,5.0 公里,16 分,5.0,16.0
94,385,捷運景美站,和興路26巷口,"24.993254,121.541059","24.9856,121.54531",途經景文街,0.9502888230990864,途經景文街,2.0 公里,7 分,2.0,7.0
94,388,捷運景美站,景華街128巷口,"24.993254,121.541059","24.995563,121.547092",途經景華街,0.6605860757706967,途經景華街,800 公尺,3 分,0.8,3.0
94,391,捷運景美站,景仁公園,"24.993254,121.541059","24.9966,121.540295",途經羅斯福路六段/台9線,0.37858580944209663,途經羅斯福路六段/台9線,450 公尺,2 分,0.45,2.0
