coordinate_pair,route,distance,trip duration,distance_value(km),time_value(min)
"24.987507,121.549827/24.984707,121.563125",途經辛亥路七段和忠順街一段,1.9 公里,7 分,1.9,7
"24.987507,121.549827/24.9856,121.54531",途經106縣道,600 公尺,3 分,0.6,3
"24.987507,121.549827/24.9856,121.54531",途經木柵路一段59巷,800 公尺,4 分,0.8,4
"24.987507,121.549827/24.986301,121.567855",途經106縣道,2.4 公里,10 分,2.4,10
"24.987507,121.549827/24.986301,121.567855",途經下崙路,2.4 公里,10 分,2.4,10
"24.987507,121.549827/24.986301,121.567855",途經忠順街一段,2.5 公里,9 分,2.5,9
"24.987507,121.549827/24.987144,121.560627",途經106縣道,1.4 公里,6 分,1.4,6
"24.987507,121.549827/24.987144,121.560627",途經下崙路,1.5 公里,7 分,1.5,7
"24.987507,121.549827/24.988241,121.55561",途經木柵路一段/106縣道,750 公尺,3 分,0.75,3
"24.987507,121.549827/24.98862,121.54361",途經木柵路一段,750 公尺,3 分,0.75,3
"24.987507,121.549827/24.98862,121.54361",途經木柵路一段59巷和木柵路一段,1.0 公里,4 分,1.0,4
"24.987507,121.549827/24.98862,121.54361",途經木柵路一段70巷和木柵路一段,900 公尺,4 分,0.9,4
"24.987507,121.549827/24.995563,121.547092",途經106縣道和台9線,3.0 公里,11 分,3.0,11
"24.987507,121.549827/24.995563,121.547092",途經景興路,2.5 公里,9 分,2.5,9
"24.987507,121.549827/24.9966,121.540295",途經106縣道和台9線,2.6 公里,10 分,2.6,10
"24.987507,121.549827/24.9966,121.540295",途經景文街,2.2 公里,9 分,2.2,9
"24.987507,121.549827/24.996842,121.559651",途經106縣道和興隆路三段,2.2 公里,8 分,2.2,8
"24.987507,121.549827/24.998811,121.56789",途經106縣道,3.5 公里,12 分,3.5,12
"24.987507,121.549827/24.998811,121.56789",途經106縣道和萬芳路,3.0 公里,10 分,3.0,10
"24.987507,121.549827/25.001447,121.539037",途經106縣道,3.5 公里,13 分,3.5,13
"24.987507,121.549827/25.001447,121.539037",途經106縣道和台9線,3.3 公里,13 分,3.3,13
"24.987507,121.549827/25.001447,121.539037",途經景興路,3.5 公里,14 分,3.5,14
"24.987507,121.549827/25.001545,121.536446",途經106縣道,3.1 公里,11 分,3.1,11
"24.987507,121.549827/25.001545,121.536446",途經106縣道和台9線,3.4 公里,13 分,3.4,13
"24.987507,121.549827/25.005386,121.55716",途經106縣道和興隆路三段,3.6 公里,13 分,3.6,13
"24.987507,121.549827/25.005386,121.55716",途經景興路和興隆路二段,4.5 公里,18 分,4.5,18
"24.987507,121.549827/25.005386,121.55716",途經辛亥路五段,2.7 公里,11 分,2.7,11
"24.988241,121.55561/24.97848,121.55545",途經光輝路和辛亥路七段,1.4 公里,6 分,1.4,6
"24.988241,121.55561/24.97848,121.55545",途經辛亥路七段,1.6 公里,6 分,1.6,6
"24.988241,121.55561/24.984144,121.569064",途經106縣道,2.6 公里,8 分,2.6,8
"24.988241,121.55561/24.984144,121.569064",途經興隆路四段,1.9 公里,8 分,1.9,8
"24.988241,121.55561/24.984144,121.569064",途經興隆路四段105巷,2.0 公里,8 分,2.0,8
"24.988241,121.55561/24.984707,121.563125",途經106縣道和興隆路四段,1.1 公里,5 分,1.1,5
"24.988241,121.55561/24.984707,121.563125",途經下崙路,1.2 公里,5 分,1.2,5
"24.988241,121.55561/24.984707,121.563125",途經忠順街二段,1.2 公里,6 分,1.2,6
"24.988241,121.55561/24.9856,121.54531",途經106縣道,1.2 公里,4 分,1.2,4
"24.988241,121.55561/24.9856,121.54531",途經木柵路一段/106縣道,1.7 公里,5 分,1.7,5
"24.988241,121.55561/24.9856,121.54531",途經木柵路一段/106縣道和木柵路一段76巷,1.9 公里,6 分,1.9,6
"24.988241,121.55561/24.986301,121.567855",途經106縣道和興隆路四段105巷,1.6 公里,7 分,1.6,7
"24.988241,121.55561/24.986301,121.567855",途經興隆路四段105巷,1.6 公里,7 分,1.6,7
"24.988241,121.55561/24.987144,121.560627",途經106縣道,650 公尺,3 分,0.65,3
"24.988241,121.55561/24.987144,121.560627",途經106縣道和興隆路四段42巷,600 公尺,3 分,0.6,3
"24.988241,121.55561/24.987144,121.560627",途經興隆路四段46巷,700 公尺,3 分,0.7,3
"24.988241,121.55561/24.98862,121.54361",途經木柵路一段,1.3 公里,4 分,1.3,4
"24.988241,121.55561/24.995563,121.547092",途經106縣道,3.1 公里,11 分,3.1,11
"24.988241,121.55561/24.995563,121.547092",途經興隆路三段,3.5 公里,12 分,3.5,12
"24.988241,121.55561/24.9966,121.540295",途經106縣道,2.8 公里,11 分,2.8,11
"24.988241,121.55561/24.9966,121.540295",途經106縣道和台9線,3.2 公里,12 分,3.2,12
"24.988241,121.55561/24.9966,121.540295",途經興隆路三段和興隆路二段,4.2 公里,14 分,4.2,14
"24.988241,121.55561/24.998811,121.56789",途經106縣道和萬芳路,2.8 公里,9 分,2.8,9
"24.988241,121.55561/24.998811,121.56789",途經興隆路三段和萬芳路,2.3 公里,7 分,2.3,7
"24.988241,121.55561/25.001447,121.539037",途經106縣道,4.1 公里,14 分,4.1,14
"24.988241,121.55561/25.001447,121.539037",途經興隆路三段,4.3 公里,15 分,4.3,15
"24.988241,121.55561/25.001447,121.539037",途經興隆路三段和興隆路二段,4.2 公里,14 分,4.2,14
"24.988241,121.55561/25.001545,121.536446",途經106縣道,3.7 公里,13 分,3.7,13
"24.988241,121.55561/25.001545,121.536446",途經興隆路三段和興隆路二段,4.3 公里,14 分,4.3,14
"24.988241,121.55561/25.005386,121.55716",途經興隆路三段,2.9 公里,10 分,2.9,10
"24.988241,121.55561/25.005386,121.55716",途經辛亥路五段,2.6 公里,10 分,2.6,10
