"25.007528,121.537188/24.988363,121.576536",途經汀州路四段和汀洲路四段,trip duration,29 分,29 分 9.4 公里    途經汀州路四段和汀洲路四段 途經未命名的道路     多為平坦路段   ·,"https://www.google.com.tw/maps/dir/25.007528,121.537188/24.988363,121.576536/data=!3m1!4b1!4m2!4m1!3e1"
"25.007528,121.537188/24.988363,121.576536",途經106縣道,distance,7.6 公里,24 分 7.6 公里    途經106縣道 途經未命名的道路     多為平坦路段   ·,"https://www.google.com.tw/maps/dir/25.007528,121.537188/24.988363,121.576536/data=!3m1!4b1!4m2!4m1!3e1"
"25.007528,121.537188/24.988363,121.576536",途經106縣道,trip duration,24 分,24 分 7.6 公里    途經106縣道 途經未命名的道路     多為平坦路段   ·,"https://www.google.com.tw/maps/dir/25.007528,121.537188/24.988363,121.576536/data=!3m1!4b1!4m2!4m1!3e1"
"25.007528,121.537188/24.987507,121.549827",途經汀洲路四段,distance,4.5 公里,14 分 4.5 公里    途經汀洲路四段 途經未命名的道路     多為平坦路段   ·              詳細資訊  機密資訊,"https://www.google.com.tw/maps/dir/25.007528,121.537188/24.987507,121.549827/data=!3m1!4b1!4m2!4m1!3e1"
"25.007528,121.537188/24.987507,121.549827",途經汀洲路四段,trip duration,14 分,14 分 4.5 公里    途經汀洲路四段 途經未命名的道路     多為平坦路段   ·              詳細資訊  機密資訊,"https://www.google.com.tw/maps/dir/25.007528,121.537188/24.987507,121.549827/data=!3m1!4b1!4m2!4m1!3e1"
"25.007528,121.537188/24.980602,121.556177",途經汀洲路四段,distance,6.6 公里,20 分 6.6 公里    途經汀洲路四段 途經未命名的道路     多為平坦路段   ·              詳細資訊  機密資訊,"https://www.google.com.tw/maps/dir/25.007528,121.537188/24.980602,121.556177/data=!3m1!4b1!4m2!4m1!3e1"
"25.007528,121.537188/24.980602,121.556177",途經汀洲路四段,trip duration,20 分,20 分 6.6 公里    途經汀洲路四段 途經未命名的道路     多為平坦路段   ·              詳細資訊  機密資訊,"https://www.google.com.tw/maps/dir/25.007528,121.537188/24.980602,121.556177/data=!3m1!4b1!4m2!4m1!3e1"
"25.007528,121.537188/24.980602,121.556177",途經辛亥路七段,distance,5.9 公里,18 分 5.9 公里    途經辛亥路七段 途經未命名的道路     多為平坦路段   ·,"https://www.google.com.tw/maps/dir/25.007528,121.537188/24.980602,121.556177/data=!3m1!4b1!4m2!4m1!3e1"
"25.007528,121.537188/24.980602,121.556177",途經辛亥路七段,trip duration,18 分,18 分 5.9 公里    途經辛亥路七段 途經未命名的道路     多為平坦路段   ·,"https://www.google.com.tw/maps/dir/25.007528,121.537188/24.980602,121.556177/data=!3m1!4b1!4m2!4m1!3e1"
"25.007528,121.537188/24.996842,121.559651",途經興隆路二段,distance,3.4 公里,12 分 3.4 公里    途經興隆路二段 途經未命名的道路     多為平坦路段   ·              詳細資訊  機密資訊,"https://www.google.com.tw/maps/dir/25.007528,121.537188/24.996842,121.559651/data=!3m1!4b1!4m2!4m1!3e1"
"25.007528,121.537188/24.996842,121.559651",途經興隆路二段,trip duration,12 分,12 分 3.4 公里    途經興隆路二段 途經未命名的道路     多為平坦路段   ·              詳細資訊  機密資訊,"https://www.google.com.tw/maps/dir/25.007528,121.537188/24.996842,121.559651/data=!3m1!4b1!4m2!4m1!3e1"
"25.007528,121.537188/24.996842,121.559651",途經興隆路一段,distance,3.2 公里,12 分 3.2 公里    途經興隆路一段 途經未命名的道路     多為平坦路段   ·,"https://www.google.com.tw/maps/dir/25.007528,121.537188/24.996842,121.559651/data=!3m1!4b1!4m2!4m1!3e1"
"25.007528,121.537188/24.996842,121.559651",途經興隆路一段,trip duration,12 分,12 分 3.2 公里    途經興隆路一段 途經未命名的道路     多為平坦路段   ·,"https://www.google.com.tw/maps/dir/25.007528,121.537188/24.996842,121.559651/data=!3m1!4b1!4m2!4m1!3e1"
"25.007528,121.537188/24.996842,121.559651",途經汀州路四段,distance,3.7 公里,15 分 3.7 公里    途經汀州路四段 途經未命名的道路     多為平坦路段   ·,"https://www.google.com.tw/maps/dir/25.007528,121.537188/24.996842,121.559651/data=!3m1!4b1!4m2!4m1!3e1"
"25.007528,121.537188/24.996842,121.559651",途經汀州路四段,trip duration,15 分,15 分 3.7 公里    途經汀州路四段 途經未命名的道路     多為平坦路段   ·,"https://www.google.com.tw/maps/dir/25.007528,121.537188/24.996842,121.559651/data=!3m1!4b1!4m2!4m1!3e1"
"25.007528,121.537188/24.988241,121.55561",途經汀洲路四段,distance,5.0 公里,15 分 5.0 公里    途經汀洲路四段 途經未命名的道路     多為平坦路段   ·              詳細資訊  機密資訊,"https://www.google.com.tw/maps/dir/25.007528,121.537188/24.988241,121.55561/data=!3m1!4b1!4m2!4m1!3e1"
"25.007528,121.537188/24.988241,121.55561",途經汀洲路四段,trip duration,15 分,15 分 5.0 公里    途經汀洲路四段 途經未命名的道路     多為平坦路段   ·              詳細資訊  機密資訊,"https://www.google.com.tw/maps/dir/25.007528,121.537188/24.988241,121.55561/data=!3m1!4b1!4m2!4m1!3e1"
